Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Ticket_number,Ticket_item
0,3,male,22.0,1,0,7.25,S,21171,A/5
1,1,female,38.0,1,0,71.2833,C,17599,PC
1,3,female,26.0,0,0,7.925,S,3101282,STON/O2.
1,1,female,35.0,1,0,53.1,S,113803,NONE
0,3,male,35.0,0,0,8.05,S,373450,NONE
0,3,male,28.0,0,0,8.4583,Q,330877,NONE
0,1,male,54.0,0,0,51.8625,S,17463,NONE
0,3,male,2.0,3,1,21.075,S,349909,NONE
1,3,female,27.0,0,2,11.1333,S,347742,NONE
1,2,female,14.0,1,0,30.0708,C,237736,NONE
1,3,female,4.0,1,1,16.7,S,9549,PP
1,1,female,58.0,0,0,26.55,S,113783,NONE
0,3,male,20.0,0,0,8.05,S,2151,A/5.
0,3,male,39.0,1,5,31.275,S,347082,NONE
0,3,female,14.0,0,0,7.8542,S,350406,NONE
1,2,female,55.0,0,0,16.0,S,248706,NONE
0,3,male,2.0,4,1,29.125,Q,382652,NONE
1,2,male,28.0,0,0,13.0,S,244373,NONE
0,3,female,31.0,1,0,18.0,S,345763,NONE
1,3,female,28.0,0,0,7.225,C,2649,NONE
0,2,male,35.0,0,0,26.0,S,239865,NONE
1,2,male,34.0,0,0,13.0,S,248698,NONE
1,3,female,15.0,0,0,8.0292,Q,330923,NONE
1,1,male,28.0,0,0,35.5,S,113788,NONE
0,3,female,8.0,3,1,21.075,S,349909,NONE
1,3,female,38.0,1,5,31.3875,S,347077,NONE
0,3,male,28.0,0,0,7.225,C,2631,NONE
0,1,male,19.0,3,2,263.0,S,19950,NONE
1,3,female,28.0,0,0,7.8792,Q,330959,NONE
0,3,male,28.0,0,0,7.8958,S,349216,NONE
0,1,male,40.0,0,0,27.7208,C,17601,PC
1,1,female,28.0,1,0,146.5208,C,17569,PC
1,3,female,28.0,0,0,7.75,Q,335677,NONE
0,2,male,66.0,0,0,10.5,S,24579,C.A.
0,1,male,28.0,1,0,82.1708,C,17604,PC
0,1,male,42.0,1,0,52.0,S,113789,NONE
1,3,male,28.0,0,0,7.2292,C,2677,NONE
0,3,male,21.0,0,0,8.05,S,2152,A./5.
0,3,female,18.0,2,0,18.0,S,345764,NONE
1,3,female,14.0,1,0,11.2417,C,2651,NONE
0,3,female,40.0,1,0,9.475,S,7546,NONE
0,2,female,27.0,1,0,21.0,S,11668,NONE
0,3,male,28.0,0,0,7.8958,C,349253,NONE
1,2,female,3.0,1,2,41.5792,C,2123,SC/Paris
1,3,female,19.0,0,0,7.8792,Q,330958,NONE
0,3,male,28.0,0,0,8.05,S,23567,S.C./A.4.
0,3,male,28.0,1,0,15.5,Q,370371,NONE
1,3,female,28.0,0,0,7.75,Q,14311,NONE
0,3,male,28.0,2,0,21.6792,C,2662,NONE
0,3,female,18.0,1,0,17.8,S,349237,NONE
0,3,male,7.0,4,1,39.6875,S,3101295,NONE
0,3,male,21.0,0,0,7.8,S,39886,A/4.
1,1,female,49.0,1,0,76.7292,C,17572,PC
1,2,female,29.0,1,0,26.0,S,2926,NONE
0,1,male,65.0,0,1,61.9792,C,113509,NONE
1,1,male,28.0,0,0,35.5,S,19947,NONE
1,2,female,21.0,0,0,10.5,S,31026,C.A.
0,3,male,28.5,0,0,7.2292,C,2697,NONE
1,2,female,5.0,1,2,27.75,S,34651,C.A.
0,3,male,11.0,5,2,46.9,S,2144,CA
0,3,male,22.0,0,0,7.2292,C,2669,NONE
1,1,female,38.0,0,0,80.0,,113572,NONE
0,1,male,45.0,1,0,83.475,S,36973,NONE
0,3,male,4.0,3,2,27.9,S,347088,NONE
0,1,male,28.0,0,0,27.7208,C,17605,PC
1,3,male,28.0,1,1,15.2458,C,2661,NONE
1,2,female,29.0,0,0,10.5,S,29395,C.A.
0,3,male,19.0,0,0,8.1583,S,3464,S.P.
1,3,female,17.0,4,2,7.925,S,3101281,NONE
0,3,male,26.0,2,0,8.6625,S,315151,NONE
0,2,male,32.0,0,0,10.5,S,33111,C.A.
0,3,female,16.0,5,2,46.9,S,2144,CA
0,2,male,21.0,0,0,73.5,S,14879,S.O.C.
